,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,lon,lat
155,C02040A000,NTUC Fairprice Co-operative Ltd,#01-119/02-119,63/66,na,0,YUNG KUANG ROAD,610063,103.722517,1.331996
156,SW08A59X000,NTUC Fairprice Co-operative Ltd,#03-01 JURONG POINT SHOPPING CENTRE,63,na,0,JURONG WEST CENTRAL 3,648331,103.7053619,1.33942
157,C85274C000,NTUC Fairprice Co-operative Ltd,na,BLK 345,1,29,JURONG EAST STREET 31,600345,103.731136,1.345595
158,J02009N000,SHENG SIONG SUPERMARKET PTE LTD,na,544,1,97/99,JURONG WEST STREET 42,640544,103.715749,1.352264
159,SW12H20A000,NTUC Fairprice Co-operative Ltd,#01-434/436/438,498,na,0,JURONG WEST STREET 41,640498,103.724256,1.348325
160,J02013A000,NTUC Fairprice Co-operative Ltd,BOON LAY SHOPPING CENTRE,221,2,200,BOON LAY PLACE,640221,103.712422,1.346517
161,C02037L000,NTUC Fairprice Co-operative Ltd,na,135,1,337,JURONG EAST STREET 13,600135,103.739684,1.333788
162,SW13T12J000,NTUC Fairprice Co-operative Ltd,JEM,50,B1,21/22,JURONG GATEWAY ROAD,608549,103.7436599,1.3330671
163,C02036N000,NTUC Fairprice Co-operative Ltd,BUKIT TIMAH PLAZA,1,LG,1,JALAN ANAK BUKIT,588996,103.778958,1.339001
164,SW13Q24X000,NTUC Fairprice Co-operative Ltd,na,280,1,315,BUKIT BATOK EAST AVENUE 3,650280,103.757137,1.347743
165,C02104B000,NTUC Fairprice Co-operative Ltd,na,10,1,8,BUKIT BATOK CENTRAL,659958,103.7495689,1.349046
166,SW08821N000,NTUC Fairprice Co-operative Ltd,na,140,1,351,TECK WHYE LANE,680140,103.7528627,1.3801298
167,SW11423N000,SHENG SIONG SUPERMARKET PTE LTD,na,18,1,95,TECK WHYE LANE,680018,103.754037,1.378346
168,SW14633X000,NTUC Fairprice Co-operative Ltd,HomeTeamNS BUKIT BATOK CLUBHOUSE,2,1,10,BUKIT BATOK WEST AVENUE 7,659003,103.748504,1.365784
169,C02053L000,NTUC Fairprice Co-operative Ltd,#01-256/258,166,na,0,BUKIT BATOK WEST AVENUE 8,650166,103.742713,1.347075
170,C02033V000,SHENG SIONG SUPERMARKET PTE LTD,na,154A,1,1,BUKIT BATOK WEST AVENUE 8,651154,103.743673,1.347399
171,J96145K000,NTUC Fairprice Co-operative Ltd,LOT 1 SHOPPERS' MALL,21,B1,3,CHOA CHU KANG AVENUE 4,689812,103.745046,1.384848
172,SW05051J000,SHENG SIONG SUPERMARKET PTE LTD,na,720,1,144,CLEMENTI WEST STREET 2,120720,103.7637589,1.302532
173,SW12O05A000,NTUC Fairprice Co-operative Ltd,na,502,1,41,WEST COAST DRIVE,120502,103.759301,1.311992
174,C02080E000,SHENG SIONG SUPERMARKET PTE LTD,na,61,1,21,TEBAN GARDENS ROAD,600061,103.73826,1.322271
175,SW15968N000,NTUC Fairprice Co-operative Ltd,#01-304/305/306,37,na,0,TEBAN GARDENS ROAD,600037,103.742795,1.320541
